Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
109;0.299102,0.160411,0.402551,0.309487,0.373016,0.175898,-0.757403,0.354109,0.398144,0.537965,0.343937,-0.805343;1.00446,-7.57084,-1.51537,1.85495
110;-0.231192,-0.343113,0.182464,0.631987,0.561107,0.0153992,-0.638835,-0.225052,-0.0568109,0.0489751,0.191836,-0.510477;-0.913477,-3.05772,-2.03362,0.908659
111;-0.29074,0.21066,0.130725,0.441713,0.837547,0.347434,-0.461177,-0.310298,-0.0564999,0.440443,0.301219,-0.146165;-0.625641,-4.67533,-2.55631,0.165984
112;-0.0866565,0.618772,-0.192378,0.734333,0.724726,0.283079,-0.395308,-0.654733,0.127346,-0.0220368,0.569467,0.258695;-1.97561,-6.67769,-2.13887,-0.0703791
113;0.0653148,0.618772,-0.38024,0.734333,0.724726,0.283079,0.0125623,-0.651363,-0.125152,-0.26873,0.00341789,0.135568;-2.28891,-5.92732,-1.54695,-1.21241
114;0.110184,0.618772,0.0333606,0.734333,0.724726,0.283079,-0.0533688,-0.649554,-0.301857,0.233611,-0.0491403,0.346291;-0.226674,-5.44204,-2.46161,-1.01535
115;0.530429,0.625072,0.000475497,0.0495768,0.748868,0.481449,0.0310905,0.264331,-0.028186,0.535557,-0.0783131,-0.251339;-0.135529,-6.34364,-1.76755,-0.4839
116;0.322296,0.3618,-0.196667,0.399256,-0.00226842,-0.13993,-0.668248,0.132728,-0.304131,0.328854,0.138009,-0.44624;-0.644409,-7.55958,-0.586105,-0.00760953
117;0.208524,0.3618,-0.349621,0.399256,-0.00226842,-0.13993,-0.73653,0.135307,-0.0770711,0.0778438,0.203479,-0.789401;-1.47265,-8.69295,0.140418,0.182531
118;0.325398,0.3618,-0.392858,0.399256,-0.00226842,-0.13993,-0.83365,0.138437,-0.0440595,0.0186071,0.306792,-0.840375;-1.78724,-9.21152,0.233394,0.305028
119;0.342036,0.3618,-0.45765,0.399256,-0.00226842,-0.13993,-0.843879,0.139175,0.00269339,-0.0749714,0.30996,-0.869452;-2.1332,-9.33269,0.348184,0.310837
120;0.351432,0.3618,-0.459567,0.399256,-0.00226842,-0.13993,-0.846637,0.140341,0.00788558,-0.0778284,0.279617,-0.880908;-2.10834,-9.35564,0.350089,0.298932
121;0.554762,0.564497,-0.75825,0.372083,0.26575,0.0274009,-0.946053,-0.104604,-0.0847984,-0.336208,0.5172,-0.931187;-3.87412,-11.0546,0.602882,-0.414144
122;0.540032,0.160411,-0.257909,0.309487,0.373016,0.175898,-0.718978,0.359329,0.296784,-0.22215,0.0112075,-0.957063;-2.08124,-7.68084,-0.591435,0.786646
123;-0.17781,-0.343113,0.413205,0.631987,0.561107,0.0153992,-0.641656,-0.215864,-0.0710698,0.337133,-0.138457,-0.736577;0.768358,-3.59542,-2.10078,0.903442
124;-0.213014,0.21066,0.366654,0.441713,0.837547,0.347434,-0.631745,-0.313603,-0.049258,0.648329,0.572352,-0.00571689;0.107682,-4.90422,-3.0743,0.688447
125;-0.137584,0.618772,-0.382129,0.734333,0.724726,0.283079,-0.31895,-0.656239,0.201687,-0.261765,0.580631,0.262518;-2.96435,-6.46875,-1.85072,-0.192187
126;0.0639163,0.618772,-0.387533,0.734333,0.724726,0.283079,0.056057,-0.649605,-0.160571,-0.2781,-0.139804,0.0819311;-2.17248,-5.87996,-1.47032,-1.39305
127;0.129602,0.618772,0.142142,0.734333,0.724726,0.283079,-0.0983023,-0.649485,-0.318936,0.352181,-0.0142876,0.374064;0.25996,-5.50534,-2.65624,-0.880389
